username,date,time,text,tweetID,placeID,pusatkota,lokasi,longitude,"latitude					"
@Perihal ,7/6/2015,17:05,Selamat sore #KabutAsap yang mulai membaui kota Palangkaraya @infoPLK',6.18E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472		"
@sasazasya ,7/6/2015,16:43,Serpihan duka 12/12/2014 #indonesiaberduka #indonesiamenangis #tanahlongsor #iphonesia @ desa https://instagram.com/p/4ykK3uFr28/ ',6.18E+17,d8b94238b4ced9a8,Windusari,"Windusari	 Indonesia",110.1674777,"-7.41972			"
@yosepten ,7/8/2015,21:18,@petajkt saat ini wilayah grogol dan sekitarnya (jakbar) mulai di guyur hujan setelah sebulan lebih tidak hujan #banjir',6.19E+17,beddf2d6061ea32e,DKI Jakarta,"DKI Jakarta	 Indonesia",106.8482357,"-6.23296				"
@innal_rahman ,7/8/2015,3:28,"'Muara kaman dikala banjir	 jerr #muarakaman #banjir #repost #mahakam #river #kukar #instakukar https://instagram.com/p/42S26SxdVy/ '""",6.19E+17,8f6d8fbc7060e679,Kalimantan Timur,"Kalimantan Timur	 Indonesia",116.1353565,"0.09857749999999998			"
@yumantoko ,7/10/2015,10:13,b'Penerbangan di reschedule  #bil #lombok #erupsi #raung #mudik #2015',6.19E+17,017e5cbb1f6f7ce4,Pujut,"Pujut	 Indonesia",116.308309,-8.855094
@dado_koeswara ,7/10/2015,9:08,"'Efek kabut asap jika semakin tebal	 bs jadi arus mudik ke Pekanbaru cuma melalui transportasi darat doang. #kabutasap #pekanbaru #arusmudik'""",6.19E+17,3a6e115c9b4aee61,Bukit Raya,"Bukit Raya	 Indonesia",101.5736714,"0.5351575		"
@kaltengbar ,7/13/2015,10:42,"'Selamat siang	 Tweeps. Cuaca Kota Palangkaraya cerah membara. Bau #KabutAsap tipis mulai menusuk hidung @infoPLK'""",6.20E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472		"
@kaltengbar ,7/14/2015,3:14,Melawan #KabutAsap Kalimantan dgn hujan buatan beranggaran 40 Milyar? Luarbiasa! http://ow.ly/PyLTo ',6.21E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472			"
@Perihal ,7/14/2015,17:08,"'Siaga #KabutAsap (@ Sungai Kahayan in Palangka Raya	 Central Borneo) https://www.swarmapp.com/c/1KBqq2P0np3 '""",6.21E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472		"
@kaltengbar ,7/16/2015,7:20,"'Waspadai #KabutAsap dr Mahir Mahar	 Kalampangan	 Baun Bango	 Kamipang http://ow.ly/PFvrB  @borneoclimate @infoPLK'""",6.21E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,-1.384472
