zipcode,centile,superzip,rank,city,state,adultpop,households,college,income,zip_code,latitude,longitude,city,state,county
94920,99.54424,1,79,Belvedere Tiburon,CA,9915,3669,69.66%,187.3856,771,18.196576,-65.87197,Las Piedras,PR,Las Piedras
60614,99.52798,1,80,Chicago,IL,49266,10767,78.40%,172.2109,772,18.447406,-65.899357,Loiza,PR,Loiza
94506,99.51097,1,81,Danville,CA,12731,5664,65.07%,195.0508,773,18.366027,-65.708138,Luquillo,PR,Luquillo
8558,99.50655,1,82,Skillman,NJ,3355,1443,69.96%,186.5095,775,18.323736,-65.296467,Culebra,PR,Culebra
7423,99.50485,1,83,Ho Ho Kus,NJ,2776,1192,68.34%,189.0633,777,18.206489,-65.901774,Juncos,PR,Juncos
10804,99.50142,1,84,New Rochelle,NY,9745,4033,70.02%,186.0231,778,18.259092,-65.974641,Gurabo,PR,Gurabo
20817,99.49184,1,85,Bethesda,MD,25142,10177,77.43%,172.4267,780,18.001995,-66.607429,Coto Laurel,PR,Ponce
94563,99.48149,1,86,Orinda,CA,12604,5358,74.54%,175.3439,782,18.224958,-66.219885,Comerio,PR,Comerio
11030,99.47478,1,87,Manhasset,NY,11864,4789,63.16%,194.5316,783,18.304369,-66.330525,Corozal,PR,Corozal
20008,99.46548,1,88,Washington,DC,21998,4687,81.58%,162.3242,784,17.99229,-66.139253,Guayama,PR,Guayama
60601,99.4581,1,89,Chicago,IL,4918,1318,71.31%,179.8721,785,18.018822,-66.795603,Guayama,PR,Guayanilla
94123,99.45113,1,90,San Francisco,CA,20475,4020,74.45%,174.2181,786,18.128092,-66.268717,La Plata,PR,Aibonito
22039,99.44225,1,91,Fairfax Station,VA,11824,5395,68.79%,183.5988,791,18.138029,-65.788499,Humacao,PR,Humacao
10546,99.43877,1,92,Millwood,NY,825,349,70.91%,179.0444,792,18.138029,-65.788499,Humacao,PR,Humacao
10004,99.43828,1,93,New York,NY,1020,221,75.98%,170.2587,794,18.200898,-66.307236,Barranquitas,PR,Barranquitas
90049,99.43073,1,94,Los Angeles,CA,26487,7837,70.03%,180.3769,795,17.997367,-66.493218,Juana Diaz,PR,Juana Diaz
7945,99.42176,1,95,Mendham,NJ,6166,2565,67.56%,184.5259,801,18.322285,-64.963715,St Thomas,VI,Saint Thomas
85253,99.41657,1,96,Paradise Valley,AZ,12735,5188,64.68%,189.4595,802,18.322285,-64.963715,St Thomas,VI,Saint Thomas
28378,99.41306,1,,Rex,NC,27,16,22.22%,261.5213,803,18.322285,-64.963715,St Thomas,VI,Saint Thomas
90210,99.40857,1,97,Beverly Hills,CA,16357,5773,55.46%,203.4443,804,18.322285,-64.963715,St Thomas,VI,Saint Thomas
22182,99.3998,1,98,Vienna,VA,15588,6486,72.90%,173.2949,805,18.322285,-64.963715,St Thomas,VI,Saint Thomas
63005,99.39265,1,99,Chesterfield,MO,10435,4721,66.51%,183.438,820,17.734211,-64.734694,Christiansted,VI,Saint Croix
10007,99.38902,1,100,New York,NY,2814,563,56.89%,199.7137,821,17.734211,-64.734694,Christiansted,VI,Saint Croix
27706,99.38821,1,,Durham,NC,97,42,65.98%,184.0526,822,17.734211,-64.734694,Christiansted,VI,Saint Croix
10504,99.38691,1,101,Armonk,NY,4651,2029,60.65%,193.1718,823,17.734211,-64.734694,Christiansted,VI,Saint Croix
20015,99.38238,1,102,Washington,DC,11879,3530,68.41%,179.7545,824,17.734211,-64.734694,Christiansted,VI,Saint Croix
